Date,1yr
"Jan 04, 2010",4.959
"Jan 05, 2010",4.911
"Jan 06, 2010",4.997
"Jan 07, 2010",4.976
"Jan 08, 2010",4.965
"Jan 11, 2010",4.924
"Jan 12, 2010",4.93
"Jan 13, 2010",4.926
"Jan 14, 2010",4.876
"Jan 15, 2010",4.864
"Jan 18, 2010",4.813
"Jan 19, 2010",4.809
"Jan 20, 2010",4.805
"Jan 21, 2010",4.8
"Jan 22, 2010",4.883
"Jan 25, 2010",4.808
"Jan 27, 2010",4.784
"Jan 28, 2010",4.771
"Jan 29, 2010",4.762
"Feb 01, 2010",4.758
"Feb 02, 2010",4.801
"Feb 03, 2010",4.845
"Feb 04, 2010",4.793
"Feb 05, 2010",4.78
"Feb 08, 2010",4.775
"Feb 09, 2010",4.771
"Feb 10, 2010",4.766
"Feb 11, 2010",4.748
"Feb 15, 2010",4.894
"Feb 16, 2010",4.839
"Feb 17, 2010",5.037
"Feb 18, 2010",5.033
"Feb 19, 2010",5.021
"Feb 22, 2010",5.017
"Feb 23, 2010",5.065
"Feb 24, 2010",5.06
"Feb 25, 2010",5.036
"Feb 26, 2010",5.034
"Mar 02, 2010",5.078
"Mar 03, 2010",5.127
"Mar 04, 2010",5.175
"Mar 05, 2010",5.163
"Mar 08, 2010",5.159
"Mar 09, 2010",5.155
"Mar 10, 2010",5.15
"Mar 11, 2010",5.146
"Mar 12, 2010",5.134
"Mar 15, 2010",5.18
"Mar 17, 2010",5.116
"Mar 18, 2010",5.061
"Mar 19, 2010",5.047
"Mar 22, 2010",5.098
"Mar 23, 2010",5.094
"Mar 25, 2010",5.085
"Mar 26, 2010",5.015
"Mar 29, 2010",4.953
"Mar 30, 2010",5.18
"Mar 31, 2010",5.159
"Apr 05, 2010",5.154
"Apr 06, 2010",5.034
"Apr 07, 2010",4.97
"Apr 08, 2010",4.965
"Apr 09, 2010",4.95
"Apr 12, 2010",5.063
"Apr 13, 2010",5.177
"Apr 15, 2010",5.168
"Apr 16, 2010",5.215
"Apr 19, 2010",5.21
"Apr 20, 2010",5.145
"Apr 21, 2010",5.092
"Apr 22, 2010",4.953
"Apr 23, 2010",4.912
"Apr 26, 2010",4.894
"Apr 27, 2010",4.926
"Apr 28, 2010",4.92
"Apr 29, 2010",4.89
"Apr 30, 2010",4.86
"May 03, 2010",4.892
"May 04, 2010",4.823
"May 05, 2010",4.881
"May 06, 2010",4.875
"May 07, 2010",4.858
"May 10, 2010",4.852
"May 11, 2010",4.781
"May 12, 2010",4.84
"May 13, 2010",4.886
"May 14, 2010",4.895
"May 17, 2010",4.876
"May 18, 2010",4.87
"May 19, 2010",4.864
"May 20, 2010",4.885
"May 21, 2010",4.921
"May 24, 2010",4.847
"May 25, 2010",4.813
"May 26, 2010",4.883
"May 28, 2010",4.871
"May 31, 2010",5.031
"Jun 01, 2010",4.97
"Jun 02, 2010",4.95
"Jun 03, 2010",4.958
"Jun 04, 2010",5.245
"Jun 07, 2010",5.282
"Jun 08, 2010",5.244
"Jun 09, 2010",5.234
"Jun 10, 2010",5.223
"Jun 11, 2010",5.222
"Jun 14, 2010",5.202
"Jun 15, 2010",5.173
"Jun 16, 2010",5.249
"Jun 17, 2010",5.229
"Jun 18, 2010",5.15
"Jun 21, 2010",5.139
